,date,rating,title,review
10,Date of stay: October 2015,50,Luxurious,"This is the top address in Hong Kong if tradition means something to you! The lounge, all the different restaurants offering a wide variety of different food. Friendly service all around, very attentive and professional. The Pen is a must when in HK!"
11,Date of stay: February 2015,50,One of the best in the world...,"The title says it all. There's nothing I can write that'll do this hotel justice. Staying at any Peninsula is an experience within itself.

The rooms, staff, food, view, everything... is just phenomenal.

A couple of things you need to experience:
High Tea - If you're a guest you get to bi-pass the long line.
Breakfast - The best buffet in the world, bar none.
Felix's - Probably the best view in Hong Kong. Fantastic food.

Practically - The hotel is located very close to Nathan Road and Harbour City. Only a few minutes walk to Tsim Sha Tsui MTR station and the Star Ferry Pier - both will take you over to Hong Kong Island."
12,Date of stay: October 2015,50,The original hotel in the world's best hotel group,"There is nothing like a Peninsula hotel, and the Hong Kong Peninsula is the Grand Dame of the group.
World's best service. Everything was perfect. Really, perfect.
Beautiful Deluxe Suite (about 1300 sq ft with 1 1/2 baths). Every single item was the best available. Great spa and gym with an indoor pool.
Opulent buffet breakfast included. 3rd night free. 3 hours of a car and driver each day included.
The level of service is what is really special. Everyone remembered our names everywhere we went in the hotel. Friendly and eager to please, but not too much.
I've stayed at 6 different Peninsulas and will always choose one if it's an option. They are the best in the world."
13,Date of stay: October 2015,50,Peninsula rolls.....,"Ever since the esteem proprietors of this monumental achievement opposite Hong Kong island decided to have their guests chauffeured in Rolls Royces, the Hotel kept in pace with this classic brand.

The Peninsula is hardly recognisable from its original plan, nor is its fleet currently consisting of bespoke limousines.

Service and hospitality have remained old school though.

A most memorable stay, Thank you all."
14,Date of stay: November 2015,40,High Tea at The Peninsula,"On the bucket list for every visitor to Hong Kong surely is a sit down to high tea at The Peninsula. Be prepared that if you are not staying here as a guest, there is a queue (shock horror) which starts at 1pm for 2pm seating.
At about HKD638 for two persons and with three of us enjoying this dining experoence, it cost about hkd1200. Was it worth it? Yes for the ambience with its vaulted soaring ceilings, live three piece orchestra playing Mozart, Bach and Chopin, it's a wonderful oasis from the bustling development outside.
Will we be back? No. The milk was off. We had to ask for fresh milk. Tea service was slow. And the offering a little too slanted towards the sweet with more scones than savoury treats."
15,Date of stay: November 2015,50,Superb hotel with outstanding service,Stayed in this hotel for four nights this month. We stayed in a one bedroom suite so there was a bedroom plus a sitting room. It was one of the best hotel experiences we've had. We had the Rolls Royce car pick us up at the airport and arrived to the hotel to be immediately escorted to our room. No need to check in at the lobby. This is a mark of true service. Fresh fruit arrived daily with assortment of flowers. Beautiful indoor pool and a wonderful spa. I cannot recommend this hotel enough. If you are looking for a luxurious stay look no further!!
16,Date of stay: November 2015,40,Very good hotel,"One of the best hotels in the world. Nice rooms, good service. Cannot find anything negative to feedback on this hotel. Love staying in this hotel when I want to have high tea at the lounge as hotel guest are given priority. Highly recommended place."
17,Date of stay: October 2015,20,Couldn't live to our expectations,There is actually nothing majorly wrong with this hotel. We just expected much more considering the big rates they charge for the night. Service was mediocre and definitively not as good as some of the other hotels on the island side - such as Mandarin or Upper House. Restaurant were overpriced and not that special. Location is good though. Doubt i would return though.
18,Date of stay: November 2015,10,Our third visit - STAFF RUNE EVERYTHING,"My friends and I stayed at Pennisula HK on 3/11 - 6/11, room no. 2702 and 1905.
We booked the hotel by using ""American Express"" privileges - complimentary breakfast. while we check-in, none of the staff informed us about the terms & conditions of the privileges which I'd used to booked the room. And then, came to the check-out the staff name MR. TERRY LO was very rude!!!! and showing inappropriate attitude.

1. He was going to charge me for breakfast (which suppose to be complimentary by using American Express card). - Then, I insist not to pay and told him i was privileged by Amex!

2. His reaction is very unprofessional - he turn back on me and gone missing. After awhile he came back with insulting expressions and said ""this will be the last exception"". - I thinking like ""...hello!... I'm using Amex privileges and the terms & conditions mentioned clearly during my time making a room reservation!!!????! what the hell is this? i didn't ask to stay for free!!!

I've been traveled around SEA - this the the first hotel with unprofessional staff, no service mind, very rude and inappropriate attitude. Worst experience ever and will not return

Thank you and best regard to the unprofessional hotel,
Sorayuth"
19,Date of stay: October 2015,50,Magnificent hotel!,"Stayed at the hotel for two nights at the start of a longer trip to Asia, and wow is all I have to say!
Great location on Kowloon peninsula, and easy to get to from the ferry. The hotel offers a glorious lobby. We had a standard room, but there was nothing standard about it- it was spacious and incredibly hi-tech (you could do everything from the tablets, including check your flight status, and automatically close the curtains) tv in tub and speakers in the showers! We arrived late as our flight was delayed, but we were greeted by very professional and helpful staff, as well as delicious green tea turndown service. We did get room service for dinner as the restaurants were closed by the time we arrived, it was the one element of the hotel that was not spectacular.
We had the buffet breakfast the next morning- it is not to be missed! Hundreds of options including Asian and international foods.
While we did not use the pool, we did walk around the facilities (pool, spa, so deck) and all looked incredible.
If you have the chance to check out salon de Ning in the basement- we loved it, it has a really cool vibe.
All in all, this is the place to stay in Hong Kong, obviously pricey, but money well spent!"
20,Date of stay: October 2015,50,I cannot rave high enough about our experience at the Peninsula,"This hotel is first rate in every aspect!

Every amenity was superb. The hotel was impeccable, the service outstanding.

the staff bent over backwards to assist us in every way.

there are few hotels that can boast the features that were offered by this hotel. One great feature was a phone that offered free international calls! I could call the states unlimitedly.This was a great perk!

The food was delicious, and ample (especially the breakfast buffet in the morning)

This is the place to stay in Hong Kong."
21,Date of stay: September 2015,50,"Amazing hotel, super staff and services!","Stayed a few nights at the Peninsula with family at the Deluxe room. Every experience, every touch point was excellent.

My wife felt unwell on one of the nights and we had 3 people including an on-duty nurse, the receptionist who had checked us in and another staff member at our room within 5 minutes.

What I also liked was that in spite of being a luxury hotel, they had an internet enabled phone in the room with which you could call anywhere for free."
22,Date of stay: November 2015,50,Simply Magnificent,"Eventhough it is a hotel from the early 1920's the rooms and hallways are pretty modern. The room has every possible amenity. Nesspresso machine, fully stocked desk with orfice supplies.(even a printer and fax machine) bathroom stocked with Oscar de La Renta amenities. The room is like a space station. Everything is controlled electronically. The food in the main dining room.was delicious. The buffets are grand worth the big bucks that it costs to eat there. Tea time at the lobby is facinating. Service throughout the hotel is very high end. The spa services I received and the Spa itself are top of the line. DOWNSIDE food at room service and by the pool was expensive and flavorless. I recommend skipping small menus and room.service and go out or eat at one of the restaurants.
My star at The Peninsula will be an unforgetable experience. Stayed at room.1912 with a breathtaking view of the harbor."
23,Date of stay: November 2015,50,Worth 7*,"This hotel is pure luxury and something everyone should get to experience at least once in their lives.

We stayed in a Grand Deluxe Kowloon View Room on the 23rd floor. The room was impeccable, everything you could want and more, iPad controls for everything, loved the remote controlled curtains!

We enjoyed afternoon tea in the lobby which was beautiful. The service was faultless, we also had drinks in Salong de Ning one evening, such a stunning bar, the decor is pure class.

The hotel and all that it offers is luxury at its finest. If I could award it 7* I would."
24,Date of stay: October 2015,50,Magical!,"Imagine you wanted to start your honeymoon in true, unrivalled luxury in Hong Kong. Imagine The Peninsula!

Imagine you arrive after a 10 hour flight and as you step off the plane a concierge meets you and asks you to hop on board your club car to be escorted through the airport right up to immigration.....

Imagine that immediately after immigration the concierge is there waiting for you to escort you to baggage reclaim where he collects your bags for you and escorts you to the limousine lounge....

Imagine arriving and not having touched your bags, you take your seat in your chauffeur driven Rolls Royce away from the crowds and are welcomed to Hong Kong by your Peninsula chauffeur who offers you chilled water and your choice of relaxing music whilst you feel like you're floating on air over roads and bridges on a 40 minute ride to Kowloon....

Imagine being personally greeted by the front desk manager who escorts you to your room the minute the Rolls Royce arrives at the door of the absolutely majestic Peninsula, only to find they've complimentary upgraded your room....

Imagine the bay side setting, the grand lobby, ringing with piano and the buzz of visitors and locals enjoying the famous Peninsula Afternoon Tea.....

Imagine the bustle of the city, the unmistakable skyline of Hong Kong Island and everything you need just a few steps from the hotel.....

And imagine after a busy day sightseeing, returning to your room to find complimentary Champagne on ice and handmade chocolates accompanied by a welcome letter from the hotel director, wishing you a pleasant stay....

Imagine your restaurant manager personally recommending the perfect starter, mains and dessert and accompanying wine....all of which being fabulous.....

Then imagine heading to the most comfortable bed from where you don't need to move to open or shut the curtains, turn off the lights, use the phone or browse the hotel directory.....

And finally, imagine all this for less than a night room only, in the Dorchester, London.....

Imagine The Peninsula giving you a dream come true start to your honeymoon and the warmest welcome ever to Hong Kong....

I'm so glad we did....

Unforgettable!"
25,Date of stay: November 2015,50,"There are no words to describe this AMAZING , SPECTACULAR, ELEGANT and BEST in CLASS HOTEL","I am writing this review in my third day out of five nights at the Peninsula Hong Kong. This is my second visit to HK and my second and not last at the Peninsula. Here is the story. There is no nicer place in the world to stay, no higher standards, no better luxury. I have been treated like royalty and I am far from that. I have never seen such service in every category from the front desk, to the concierge, to the food service, the valet , bellman, doormen, housekeepers in the public restrooms
They don't miss a trick. Everything is covered in the highest of standards.
The shopping arcade is fabulous, the tea and chocolate shop delish. The lobby restaurant is so good I ate all
Of my dinners and afternoon tea here. The desserts and pastries at every restaurant are the most amazing delights I have ever had( I have had many) nothing is as good as the chocolates at the Peninsula
The spa is beautiful, warm and luxurious. The views of Victoria Harbor from my room on the 4th floor are stunning even though not high up. The bed is so comfortable the amenities and technology are so spectacular in the room that I never want to leave
There are no words to describe how I feel being here at the Hong Kong Peninsula so do me a favor and make your next stay in Hong Kong at the Peninsula. You will love it in every way, just as I love it and want to return before I have even departed
Do not miss this place. It's one in a million"
26,Date of stay: September 2015,50,Back again - great hotel,"Stayed at this hotel for 2nd time this year. Service is excellent. Spa devine. We loved the breakfast buffet and gym. Also, bar up on the high floor had great view. Very average bar menu but it was late. Stay here if you want to be on Kowloon side and want a luxurious stay."
27,Date of stay: November 2014,50,Style.,Book a room with a view. Such a great hotel classic. Service is fantastic and the room service and restaurants are all worthwhile. Great location. The rooms are well appointed and beds are zzzzz worthy. Some hotels have hype and no game. This one is the game. So good.
28,Date of stay: October 2015,50,One of the best hotels I've ever stayed in,"Stunning hotel with a real sense of history and place. Service is exceptional, great variety of restaurants, and the other facilities are top-notch (e.g., pool, gym). The only downside of The Peninsula is the location in Kowloon, which can make getting to and from Hong Kong island a bit of a pain, especially via taxi after dinner. That said, it does give you pretty much the best views in town."
29,Date of stay: October 2015,50,A remarkable 5 Star experience in ever sense!!!,"With no doubt this hotel has set the standards that all other properties should be measured by. The service, hospitality, professionalism, quality and value make this the finest property I have ever stayed in. 4 nights, complete with Rolls Royce airport transfers created memory's not soon to be forgotten. It is true that the majority of the staff are tenured at over ten years service with a large percentage over twenty years. When you see the interaction of the General Manager, Rainey Chan with the staff, there is no question why all those that I came in contact with are happy, service oriented and provide the utmost in service. Clearly a key to the hotels success is the service culture supported. If you find yourself fortunate enough to travel to Hong Kong, do not consider anywhere else to stay except the Peninsula!!"
30,Date of stay: October 2015,50,Amazing experience,"One of my top three hotels in the world. It is a good example of what it is called ""Asiatic luxury"". Lots of service, the finest details, perfect rooms... The spa is definitively my best ever!!! Even the sauna has views. Not to mention the swimming pool with stunning views over the Kowloon Bay. Everything was luxurious in a simple way."
31,Date of stay: September 2015,50,Undoubtedly amongst the Best Hotels in the World,"The Peninsula Hotel in Hk , or as the well travelled guests call it affectionately , The Grand Lady might be over 100 years old but it manages to retain its Victorian allure plus ALL of the most modern features of a highly efficient and updated hotel. There is an option of staying in the original building or in the relatively new tower which has a breathtaking view of the HK harbour from the Kowloon side. What makes however The Peninsula unique is the impecable service in all levels by all the staff plus large super confortable rooms plus SEVEN of the best restaurants in town offering what even the best gourmand demands . Having tea in the main lobby while chamber music is played by a first class live quartet is an experience not to missed whether you stay at the Hotel or not . Also not to be missed is the Felix Bar on the 26th floor with probably one of the most breathtaking view of the harbour plus a surprise in the mens bathroom !!!!!
Don't miss it."
32,Date of stay: October 2015,50,Classic & chic,"Everything about this hotel is great, rooms are splendid and have an amazing and clever control device that allows you to select your tv channel, turn on the lights, open the curtains, order food, call the reception and so on.... Rooms are very classic, nothing fancy, but high quality materials that makes you feel good and at home. However, I would have loved a door between the dressing room and the bedroom in the suite room to avoid waking up madame when you get dressed up early morning and she is still sleeping. Service is very very good but could still be improved if I compare to Ritz Carlton HK for instance. Swimming pool area is breathtaking, and the overall experience is great."
33,Date of stay: October 2015,40,TOP NOTCH,"This is one of those lovely old iconic hotels with lots of history, lovingly restored and excellently maintained.
The location is very convenient for those who love the hustle and bustle of HK. There are lots of train stations, shops and eateries in the vicinity. It is opposite the HK Museum of Art and a short walk from the harbour. To get here from the airport, I simply took the airport express train to Kowloon station and then hopped onto a cab to reach the hotel in about 10 minutes.
The hotel lobby area is perpetually full of people because the restaurant there is apparently a very popular dining spot even for people who do not stay here.
Once out of the lobby, it was fabulous to retreat to the luxurious seclusion of our room. I am a very finicky person who gets put off by things like grout or stains in the tiles and I would say that our room was really top notch in terms of quality finishings, everything being well-maintained, clean and new and superb attention to detail. There are many amenities in the room which contributed to our enjoyment of our stay here, such as complimentary daily provision of fruits, a valet box in which you discreetly receive your newspapers and put things like your shoes for cleaning and the laundry, numerous ipad-like devices to control the temperature, lighting, music, tv etc; a nail dryer (!!!), 2 vanity counters in the bathroom and a very stylish looking TV at the foot of the bath tub.
We took a dip in the swimming pool which is an indoor one - I felt that it would have been better if it was more heated, especially the jacuzzis - but we had a fabulous view of the harbour, and it was quiet and relaxing, far from the madding crowd.
We dined at Felix which was a nice high-end restaurant serving Western food, (though the inclusion of venetian blinds at the windows that obscured our otherwise lovely view of the harbour was rather perplexing). We had drinks and danced the night away at the cosy Salon de Ning lounge bar.
I must compliment the housekeeping service which was excellent. Service generally in the hotel was above average, the staff being professional and polite.
I would definitely recommend this hotel to anyone who appreciates understated luxury with very modern amenities in a classic refurnished grand dame."
34,Date of stay: October 2015,50,Flight of fantasy,"We have visited Hong Kong on many occasions, and love this extremely grand, imposing old hotel. For a special birthday treat, and a great surprise, my family organised afternoon tea ( book or queue for ages) in the grand reception, followed by a dramatic helicopter flight from the roof of this iconic hotel. We were escorted like royalty to a special lift that took us straight to the top floor where we enjoyed champagne in the luxury pre flight room, with panoramic views of HK harbour, before again being escorted to meet out charming pilot on the roof and the incredible flight. A definite must !!"
35,Date of stay: October 2015,50,Exquisite in every way!,"We are total fans of the Peninsula Hotels! We were picked up at the airport by their Rolls Royce...a total surprise! Perhaps because we arrived from their Shanghai hotel. The lobby is beautiful and our room was fabulous, 2413, with a right on view of Victoria Harbor. At night we enjoyed a light show with a complimentary bottle of very nice champagne. Tea in the lobby was simply the best! All in all a totally fab experience. Highly recommend. Also be sure to check out their magnificent indoor pool."
36,Date of stay: October 2015,40,Garden Suite Event,"Always grand and always classy, The Peninsula Hong Kong always impresses, even it is for a brief social function - this time at the Garden Suite. Beautiful views across to Hong Kong island. Service in all public areas of the hotel were great."
37,Date of stay: September 2015,50,Long weekend,"Great venue for a friends 50th - completely over the top but stylish.Service exceptional.
Great food with a wide choice and afternoon tea in the foyer is an obvious attraction. Relaxing spa and pool with a great outside area overlooking Hong Kong. Only disturbed by the helicopter taking off from the top of the building!!"
38,Date of stay: October 2015,50,Just perfect,"We have been many times to Hong Kong and have always wanted to stay in the Peninsula but knew it was expensive. All I have to say is it was worth every penny for the experience. We had a fabulous room in the tower, deluxe harbour view. What a view, slap bang overlooking the main part of the harbour over to Hong Kong Island. The room itself was beautiful, furniture, bathroom and a really comfortable bed. One of our nights was the 1st October so we a a birds eye view of the fantastic fireworks. The staff were so lovely and couldn't have been more helpful. All in all a wonderful stay."
39,Date of stay: October 2015,50,Amazing hotel...worth staying forever,Stayed here after 10 years on our 2 nd visit to HongKong.The level of impeccable hospitality is the same.The most amazing thing was they had all the records of our last visit too.The rooms are beautiful with all electronic gadgets at your disposal.Our room no was 2401.will definitely stay again at the P.
40,Date of stay: November 2014,50,Best views,"If you visit Hong Kong, you MUST try The Peninsula. Staff will look down on you, if you don't match their guest's ""profile"", which can be a little annoying, but you don't have to dress up to visit Mong Kok just because a bell-boy expect's you to do it, do you?

If you like ice-creams, don't miss the vanilla. ¡It's worth the trip!"
41,Date of stay: February 2015,50,Another perfect stay,"We stay in the Peninsula every time we visit HK. No trip to HK is complete without at least a night here! The service is sublime, the environment an oasis of calm gentility in a very busy city. The rooms are just wonderful - cool, comfortable and luxurious."
42,Date of stay: October 2015,40,Very busy hotel with the most technologically advanced rooms,"I've always loved the Hong Kong Peninsula! Through the years, I deviated away from the madness of TST to the slightly more civilised central area. This time around, I decided to once again revisit the Peninsula.

I availed of airport transfers and was welcomed by an airport representative upon disembarking the plane. I was then escorted through immigration and was offered assistance with my luggage before proceeding to a dedicated limousine lounge where a stunning Rolls Royce Phantom whisked me to the hotel. Off to a great start, although the airport representative wasn't overly friendly. All she said the whole time was, ""welcome to Hong Kong"" and ""Ill see you on the other side of immigration"" I also wasn't too comfortable having a lady assist me with my luggage so I ended up doing it myself.

Once I entered the grand lobby of the Peninsula, as expected, tourists, guests and diners lining up around the lobby for the afternoon tea service can be seen hovering around. It was crazy! Fortunately, I breezed through the crowd and went straight to my room where they conducted the check-in formalities. Welcome tea arrived quite late.

The room is beautiful and it has remained one of the most technologically-advanced hotel rooms there is. Everything can be controlled through the 3 main tablets located on either side of the bed and one on the desk; from the curtains, lights, room temperature, room service and even ordering 3D glasses or a bucket of ice and all the while making free international calls anywhere in the world! The bathroom has its own waterproof control panels as well located by the sinks and by the bathtub! With a single touch of a screen, you can convert your bathroom into a spa complete with dim lighting and relaxing music.

The service was generally good, although I was disappointed that my request for a 1PM late check out was declined. I do not usually have any problem with this request with other hotels.

So I rate it a solid 4 stars. I couldn't rate it a 5 as it wasn't perfection. The service I wouldn't say was outstanding, at least it wasn't as good as what it used to be. The breakfast in the Verandah was average. Also, perhaps because of old age but the crowd is starting to bother me. The pool, as beautiful as it is, overlooking Victoria Harbour wasn't a very relaxing place with kids constantly running around. If it isn't for the rooms with its majestic views of the harbour, I do not think I would be returning to this hotel.

Location is great as TST station is just across the road road and you are two stops away from Central. HK's biggest shopping centre, Harbour City is about a 50-min walk and so is the star ferry terminal."
43,Date of stay: September 2015,50,Continues to be at the top of their game,"Just finished a four day stay at the Peninsula and it was indeed impressive. Having grown up in Hong Kong and now returning as a ""visitor"", I was hoping that the hotel would remain the same as I had remembered growing up and waiting in line for their lobby afternoon tea. From the Rolls Royce pick up service at the hotel to the in-room check-in to all the hotel staff (both restaurant, front desk, housekeeping), everybody has been extremely attentive and service impeccable. We tried four different restaurants at the hotel and although the food is good, it was the service the outshone it all. Yes, the line for their lobby afternoon tea is just as long. The suites are very well appointed and the bed sheets and mattress are some of the most comfortable that I have ever slept on. I need to find out what brand of bed sheets do they use so that I can buy them to use at home. I usually stay at home every time I visit, but now I will find every excuse to stay at the Peninsula instead. It might be near impossible to score their mooncakes from Spring Moon, but my stay was the consolation prize."
44,Date of stay: January 2015,50,Best of all,"We had a very good Meeting here an we loved to be in HK again,sorry its not longer englisch.Service is as ever best we know and the kitchen does everything you want.sure we will be back again with our companie!"
45,Date of stay: September 2015,10,Unwelcoming,You do hear a lot about cases where Chinese looking guests get bad treatments in HK but I always thought its exaggerated until I faced the same profiling during my first family vacation in peninsula. I am a ABC and they still insist on talking in mandarin to me despite my US passport etc. I requested an early check in which was rudely declined. Had to wait for hours in the lobby and no one cared about us despite paying prime rates. We felt like second class citizens and I will never return!
46,Date of stay: September 2015,50,Unchanged - Magnificent,"Stayed at the a Peninsula for three days last week!

The finest of service from beginning to end. Met at the gate from my flight from London, handed over to the driver - Rolls Royce transfer to hotel. Met at the door - directly to the room. All within an hour of arrival.

Restaurants are designed to impress and so they do!!

Bar on the restaurant level and Felix - excellent - but ask to be sat downstairs at Felix cos the bar stools are not so kind to those with a wider backside.

Used the business centre for the first time which was super efficient.

Wifi excellent in all areas.

Concierge very knowledgeable. A great help.

Check out very efficient.

Hong Kong's finest!!!"
47,Date of stay: October 2015,50,Always wonderful,"My daughter and I stayed for 7 nights
The room was large and the bath room was lovely and roomy .
The beds were super comfortable .
The service was top notch , we never had to wait to be seated .
We went to Felix there top notch restaurant , the food was great ,"
48,Date of stay: November 2014,50,A True 'Grand Old Lady',"A sublime, iconic experience; Sunday afternoon tea at the Grand Old Lady, sitting under the neo-classical arches of the Peninsula Hotel’s Lobby as The Lobby Strings quartet played, and people-watching became a form of moving art appreciation, an experience a notch beyond the norm. (The Japanese used her as its HQ during the Second World War, the Governor, Sir Mark Young, imprisoned in a suite for two months). Tradition is said to be opposite to innovation. For the Peninsula, however, it has constructed its niche based on harnessing its tradition with innovation, thereby not only surviving but also flourishing. The Grand Old Lady has long recognised that tradition is the name given to those cultural features that, in situations of change, are to be continued to be handed on, thought about, preserved, and not lost. The recognition has paid a handsome dividend, and long may such self-investment continue. A privileged experience."
49,Date of stay: April 2015,30,FAR TOO ARROGANT,"We had to wait in line for an hour and a half for a very mediocre tea. You would have thought they were doing you a favour by seating you. the service was dismissive, wont be going back again.We had spent a week at peninsula in tokyo and would never have been treated like this."
50,Date of stay: September 2015,50,Brilliant hospitality !!,"I have heard about this Hotel earlier and stayed during my recent visit to Hong Kong. The hotel is not very modern but has a distinct characteristics .
Lobby : Neatly designed and bustles with activity throughout the stay.
Rooms: are well deigned . I personally liked the Valet box and automation system.
Food and beverage: Lobby cafe and rooftop bar is very good.
Service; Excellent team of associates ."
51,Date of stay: September 2015,50,every detail covered.....,"The Peninsula in Hong kong is lovely.Every detail is thought through - even a nail dryer in the rooms. The views from our room were spectacular, food great. Expensive but as a luxurious treat, worthwhile"
