,date,rating,title,review
15,Date of stay: August 2022,40,unforgettable stay,"Enjoyed a pleasant staycation at the Peninsula, except for the dining experience at Gaddi's.
The Rolls Royce transfer was incredibly comfortable . The room was very comfortable and the Victoria Harbor view was superb. Thanks for preparing gluten free breakfast, tea set and lunch for me.
Especially the tea set was so impressed.
The most important was I didn't have any allergy reaction, which is very rare. Thanks you.
For Gaddi's, I was very disappointed with the service provided, which is not acceptable for a Michelin restaurant.

We will return to the Peninsula, but not Gaddi's."
16,Date of stay: August 2022,50,Five star journey,"I have always been a big fan of Peninsular. Everyone here is really nice and genuine. The staff at the entrance were friendly, they greeted us and showed us the direction. While we were at the lobby area, everyone were very welcoming. Love the music and the ambiance there.
Felix has one of the best view in Hong Kong. Food was exceptional. The execution and presentation was flawless as was the service. We were lucky to be seated by the window. Service was impeccable. I was very clumsy with my shopping bags and the hostess proactively assisted us with a smile. The bartender (Louis? was sweet and amiable, he was very patient and provided us helpful recommendations. The drinks were lovely. Woodie and Rana, thank you for taking care of us. It was my partner’s birthday, she was truly touched. It was such a memorable experience. We will definitely come back for you guys!"
17,Date of stay: August 2022,50,No.1 Hotel for Proposal Staycation,"It has been a wonderful stay in the Pen for my proposal Staycation, thanks to the hospitality of the hotel and it's wonderful staff. Booked a staycation package with a 4-course dinner and the Gaddi's and Peninsula generously upgraded my harborview room to harborview suite! I was allowed to early checkin to make all decoration and I was even gifted a romantic dessert after my successful proposal!

The dinner at Gaddis was great. The french gourmets were delicious and the live band was a big plus and the atmosphere was both elegant and relaxing.

Back to the room from dinner and found a special gift on the table - the infamous door guardians fragrance soap!

The lobby breakfast and the takeaway tea set were also great

All in all, it has been a 120 points stay at the Peninsula, thanks!"
18,Date of stay: August 2022,50,Farewell Staycation ❤️,"It’s late but I would like to thank to everyone who made our staycation so amazing as well memorable.
Firstly thanks to Hazel for arranging a farewell cake to the room. She was so polite and very calm while making our booking on a call then we had dinner at The Felix we enjoyed every bit of it. Excellent service by Sally and Cathy. As well the housing keeping team too whenever we ask for something it was so fast!
Lastly this foreign lady at the washroom she overheard our conversation and told us to ask housekeeping for sanitary napkin but surprisingly when we reach at room someone brought to us.
Impeccable serve by everyone can’t wait for another one ❤️"
19,Date of stay: August 2022,20,So-so eperience,"The experience was just so-so this time. Everything is just average, not up to Peninsula standard. Room, view, food, services, all were average. Hopefully all will be improved.
Not sure if we will come back again or not."
20,Date of stay: July 2022,50,The AE package with Peninsula,"A very traditional environment, where it has kept British tradition design. Especially the tap in bathroom and the music at The Lobby. My wife and I felt so good during this trip with kind service by Peninsula team. The benefit from AE we can enjoy the check-in time at early 0600 to check-out time at 2200, moreover a room upgraded and a little bit credit. Although that wasn't a seaview room but acceptable (The view of some satellites setting up on top the opposite building) .

What impressed us most is that the dinner at The Lobby last night. The staff's name: Daniel, gave us a premium service and acted in a professional manner. We cannot regonize the name plate in a very dimmed environment. The name got when took the pill at last. Not limited to him, but all of them.

Last but not least, please keep this good services on and see any surprise in our next visit."
21,Date of stay: July 2022,50,Wonderful staycation at peninsula Hong Kong,"We went for a staycation at the Peninsula Hong Kong from 25-28th July 2022.

We were two families with 4 members each, and we had the most amazing time at the Harbour View suite with stunning views, outstanding hospitality, the amazing pool, and sumptuous food.

A special shout-out to two ladies

First Lola Leung, Customer Service Agent who was easy to deal with and crafted the special deal for our stay

And secondly our host Hazel Tang (Guest Relationship Manager) who was extremely attentive to our needs and always helping us improve our stay. Thanks a lot hazel !

We will be back for sure

We will be back for sure"
22,Date of stay: July 2022,50,Birthday Staycation!,"July was special! Because, it was my birthday and I got to spend the day at the heart of Hong Kong in the most iconic and luxurious hotels in the world. The Peninsula, is everything you have heard of and read about or more. Opened almost a 100 years ago, it is still boasting the majestic, colonial past with an amalgamation of 21st century modernity. From the hotel concierge to the waiters of the restaurants, service was on point. They treat you the most special way one can imagine. The free SPA gift to a complimentary birthday cake they thought of it all. If you are stuck in hk for the past two years and want to get away to feel special for a day, The Peninsula can be on your list. It can be on the more expensive side but worth every penny!"
23,Date of stay: July 2022,30,A 5-star hotel doesn’t quite live up to expectations,"To begin with, there was neither a queue nor any guidance at the check in area. While we had been standing in front of a check in desk, other guests who came later could easily go before us and check in. What a mess.

We had breakfast and dinner at The Lobby. I can’t say there was any service at all. Waiters and Waitresses were always busy with something and paid minimal attention to guests. Average waiting time between courses was 30 minutes or more after we finished the previous course. Even guests who arrived later than us got their food before us.

The food quality could not justify the waiting time. Notable mention goes to the pate en croute. It was like frozen food taken straight out of the fridge. Pretty sure that it wouldn’t break into pieces if I threw it at the table. And the crust pastry was soaky. Other dishes were okay, not great not good. It was just okay.

Speaking of the positive, the room was well equipped, clean, and the furniture was in good shape."
24,Date of stay: July 2022,40,Very nice Swimming Pool & panorama harbour view is awesome!,"Last time due to the pandemic the pool was closed. This time its great that we can enjoy swimming in this Roman interior design + lion sculpture pool. Very grand and special. The panorama harbour view is awesome! Don’t want to leave….. > <
This time we booked a deluxe harbour view room. Room is spacious and the harbour View is great! For sure harbour view room or suite is highly recommended!

Staffs are very nice Service is super good as last time! Chinese breakfast set is delicious 😋 Will stay again ^ ^"
25,Date of stay: July 2022,30,Worst Forbes 5 Stars Hotel in Hong Kong,"- A room with totally no view. NO view at all, just the YMCA building directly in front.
- Waited 40 mins for check in. Unacceptable for a Forbes 5 stars hotel.
- No welcome card, even not a computer printed one. I would expect all forbes 5 stars hotel would offer hand-written welcome card.
- No welcoming cake or similar, just 3 red apples.
- The room is dark even with all lights on.
- No warning of the water depth of the swimming pool.
- No kid playroom. Not a kid friendly hotel."
26,Date of stay: August 2021,50,It’s the Pen! Top notch!,"We stayed here for 3 nights at the suite. We got an upgrade and the suite is huge!!

The view is excellent. Service is excellent. The hardware is excellent. The price is of course not so excellent but it’s worth the money.

There are plenty of good reviews and I don’t need to say more.

Everything is great BUT service of Gaddis should be improved. Firstly, we don’t really felt warmly welcome. The service was a bit cold. Secondly, we were there to celebrate a birthday. Yet, the dessert chef spelt “Hapy Birthday” on the dessert plate. It was a big silly surprise. We told the manager immediately and he thought it was funny. Honestly - I think it’s a shame for the Pen …."
27,Date of stay: October 2021,50,A true classic,"While we didn't enjoy Hong Kong as much as we had hoped, we did very much enjoy our time in the Peninsula Hong Kong. It was everything we had hoped it would be. The location is also in a great place with the setting of Hong Kong harbor so near. Of course the service is great and everything is first rate. We would stay again in we returned to Hong Kong."
28,Date of stay: May 2022,50,Unforgettable Stay,"I booked this hotel for the first time in order to celebrate “Happy Mother’s Day” for my parents.
As they said they haven’t been here and they were already 70 years old, they did have an unforgettable stay here.

Staff is very nice and helpful starting from the entrance of the shopping arcade to check-in. The room is spacious, tidy and clean. The control penal is stylish which is a tablet. The coffee machine is user friendly and the coffee tastes good. The design in the room is so comfortable although it is a ‘many decades’ hotel. The sofa and bed are very comfortable. Bathing is so relaxing and enjoying with a miniTV next to the bath tub.

Breakfast is included. The room service is at the top level including the setting of dinning table, table manner and the food quality. When we check out, a take away tea set was also provided which is also very delicious.

Overall, the staying is very satisfactory. 6 stars is given and it is highly recommended for visitors and travellers. It is a bit pricey but it worths."
29,Date of stay: June 2022,50,The Peninsula Hong Kong - Traditionally Elegant Heritage,"For birthday celebration, we had chosen The Peninsula Hong Kong for staycation while we had been perfectly taken care of during the stay.

From check in experience to entering the room, the front service colleagues had provided warm welcome with their lovely smile. They were all very helpful and detail oriented confirming our itinerary throughout the stay. Colleague for luggage assistance was really efficient too! The room was clean while the marble bathroom design was classy. The electrical panel controlling different devices which was very convenient as well. Thank you for the birthday amenities!

The spa treatment was highlight of the stay. We had reserved a 60 minutes Swedish message and thank you for upgrading us to the couple room with amazing view of Victoria harbour. The whole experience was very relaxing with great pressure control. This is one of the best spa experiences in Hong Kong for sure!

Besides, we had breakfast and afternoon tea set at The Lobby. Understood that the team were very busy during weekend but they were trying their best to be professional offering refill and photo service etc. The historic and elegant design of the lobby with live band was definitely a plus.

Last but not least, we would like to express our gratitude to Henry from Guest Relations, Nancy from Baggage team, Michael from Concierge and Jeff & Kelvin from Reservation. Your service were impressive and thank you for making our stay memorable!"
30,Date of stay: June 2022,50,Wonderful Afternoon tea,"I am lucky enough to have been a few times to the Peninsula for their iconic afternoon tea. This visit did not disappoint..... The selection of food was first class and utterly delicious!
One friend has to eat 'gluten free'. We phoned in advance to request this and she was given and exquisite set for herself (see photo).
We were looked after by Sarah Choi who was the most attentive, polite and helpful hostess. She made a wonderful experience that bit better. Thank you."
31,Date of stay: May 2022,50,Value the experience & unwind after Five,"This was a surprise booking for my parents for my dad’s retirement. I booked an overnight stay with flexible check out and spa treatment with dinner. My parents were very pleased with the service and very much enjoyed their stay at Peninsula.

They had Harbour view deluxe room with breakfast and I added unwind after five offer which includes spa treatment and set dinner. One week down and they are still talking about how everything was so perfect and couldn’t have been any better.

I really appreciated the complimentary cake which was a surprise for me too! Thank you

I would like to thank all the team involved for your help and making my parents stay special. I look forward to visit HK soon and be able to experience firsthand.

Bw,
Rosmee"
32,Date of stay: June 2022,50,"Oasis in the city - a unique historical, cultural and architectural experience","Before I spent my first stay in the Peninsula Hong Kong, I may wonder if it’s too classic for me. Now here I am proven completely wrong!

I would rather say I had a unique historical, cultural and architectural experience instead of having an overnight hotel stay. This legendary hotel is bringing back history and story!

I would highly recommend the Deluxe Courtyard Room located at the hotel's old wing. The guest room with contemporary design is nicely furbished and perfectly maintained. The room also equips with multiple interactive digital room controllers (tablets) which I could control lightings, curtains and room temperature at my fingertips. Last but not least, the bed is so comfy too.

The dining experiences in each of the F&B outlets were both enjoyable. I had a pleasant, quiet afternoon at the coffee corner in The Verandah with pastries and the signature tea selections. To wrap up my night, I spent a few moments at Felix - a modern / avant-garde style restaurant and bar with stunning skyline harbour view. The L.O.B.S.T.E.R cocktail (coconut infused Martini with a drop of lobster bisque) was so nice! The breakfast was served at The Lobby. Although the food may not be top-notch, the atmosphere at this iconic and elegant dining venue made everything wonderful. Apart from the above, there’s actually one hidden gem worth a visit - the poolside bar. I felt like having a vacation outside the town when I was enjoying some drinks under the sunlight and fresh air at Sun Terrace. It's definitely an Oasis of the City.

In overall, the classic vibe becomes energetic and lively when traditional meets modern.

We did see a lot professional, helpful and experienced staff during our stay. Our first staycation experience in the Peninsula Hong Kong won’t be that wonderful and perfect without the effort of every single staff members!

Please allow me (and also on behalf of my boyfriend) to express our sincere gratitude to Hazel from Guest Relations for taking good care of us. Although the hotel was so busy during the long weekend, we still had a hassle-free experience on room check-in/out, restaurant arrangement and swimming pool reservation with Hazel’s kind assistance. It was our pleasure to meet her and we were truly grateful to receive the surprising heart-warming amenities and handwritten card from her!

The recent staycation with such unique experiences was far exceeded expectation. I would look forward to my another stay, in the near future."
33,Date of stay: April 2022,50,Excellent Staycation,"Extremely impressed by our stay at The Peninsula.

The room was well-appointed with extensive tech features. Really appreciated the wireless chargers and printer. The beds and linen were comfortable.

The service was impeccable. From the ladies at front office (who proactively offered us an upgrade), to the helpful concierge and restaurant staff, everyone was always happy to assist you.

All in all, an excellent stay and I will definitely return without any hesitation."
34,Date of stay: May 2022,50,Nice staycation,"It was a forgettable staycation in a grand & historic hotel, their front desk staff demonstrated professional and hospitality manner that made me impressive especially a young lady staff “Tiffany”, though we have got a late check in arrangement, they tried their best to arrange us a connecting room and with a series of follow up n hospitality gift to us. We enjoyed a good stay with a nice harbour view deluxe room, very clean hygiene room and absolutely clean in every details. Room is spacious with separate cloakroom. Highly recommended hotel for staycation"
35,Date of stay: December 2021,40,Pretty Good,"To be honest, the experience was pretty magical, I didn't expect much as I walked in blindfolded but the scent told me all I needed to know! My only tip was that they didn't provide sleeping masks so I did have quite the supple eye upon my departure."
36,Date of stay: April 2022,50,Grand & Lovely Stay,"Beautiful stay with the family. Everyone's so nice; friendly and professional. From the bell attendants to the reception staff, very welcoming .The room were so big and once you're in, you get the 'homey feeling"" (connecting room in a Grand Deluxe Harbour View). Shout out to ""Chandra"" (is it correct) who's very patient and hardworking and to the whole team of Housekeeping department. Very efficient and friendly service. To all the staff of Peninsula Hotel, thank you so much for the warmth and unpretentious service. You really lived up to your name.
Hope to be back on our 19th Year Wedding Anniversary!!!!!"
37,Date of stay: April 2022,40,A relaxing stay,"A relaxing stay.
Attentive staff kindly fulfilled our late check-out request with no hassle. The room was quiet and had an excellent view of the Victoria Harbor.

Breakfast was fulfilling, their Earl grey tea is a must-try."
38,Date of stay: April 2022,50,Extraordinary experience,"I can't praise the Peninsula enough for a wonderful stay. My husband and I had always wanted to stay the Peninsula and decided to take advantage of a last minute staycation offer. We enjoyed a delicious set lunch in the lobby with a live jazz band playing some of our favorite songs, and then things got even better. We were offered the harbour room we had reserved or an upgrade to a harbourview suite since we were celebrating an anniversary. The only catch was that we would would have to wait an extra hour for the suite. We are so grateful to Andie for giving us the option!
The Red Phoenix suite was simply beautiful - enormous, with thoughtful design in all aspects . We especially appreciated the body jets in the shower, the corner bathtub with a view of Kowloon, the armchairs in the bedroom looking out over the harbour, and the chocolate mousse cake - an un expected surprise.
We enjoyed fresh pastries and a variety of items for breakfast in the lobby and brought home goodies for high tea. Everyone we interacted with was professional and friendly.
There is nothing I would have changed about our stay. We're already looking ahead to a return visit. Life in Hong Kong has been hard lately, but I left the Peninsula feeling refreshed and lighter somehow. It's a truly exceptional hotel."
39,Date of stay: April 2022,10,So called Michelin-Starred Chinese restaurant,"I will make this nice and short, April 1st lunch at Spring Moon “Best Cantonese Chinese restaurant in Hong Kong” as stated on hotel official website. In return surprisingly I found myself a long strand of hair in the soup based vegetable dish that was ordered.

After the dish was replaced and complimentary dessert offered there was no sign of follow up and investigation whatsoever. No one seem to care even during service or bother to ask how was everything if the food is to my liking.

Simply here is your bill. Thank you.

Perhaps my definition and standard of a michelin-starred restaurant differs to Peninsula."
40,Date of stay: March 2022,50,Hong Kong Icon...wonderful,"Wonderful birthday stay at the Peninsula with family. Service was perfect from arrival to departure, room was sumptuous, birthday cake and champagne a pefect start to our short break and in room dining was excellent (as evening dining not possible due to the pandemic). Well worth a visit just for the views."
41,Date of stay: January 2022,50,Perfect Anniversary Stay 2022,"The peninsula hotel is really luxury and fantastic. I and my wife love the lobby area very much. Enjoy breakfast in the lobby area is a must event for every stay.
This hotel is excellent for morning jogger. If you love jogging. There is wonderful harbour view jogging path in front of hotel. My room is Harbour View Suite. The Harbour view is wonderful. It is one of best hotel stay in world. There is my wedding anniversary staycation. It make me and my wife with unforgettable memory. I shall revisit this luxury hotel again. Thank you for special arrangement. A fantastic staycation."
42,Date of stay: March 2022,50,Wonderful Staycation Experience!,"It’s a great deal for such impeccable service!

Staffs are nice and friendly all along. Thanks Selah from Peninsula for touring us our room in details and trying her best to perfect our time spent there:)
Room is clean and spacious with amenities that are better than expected. The food is fine, especially the tea set to take away!

Definitely the best hotel Ive ever stayed in:)"
43,Date of stay: May 2021,50,Perfect 30th Birthday Stay,"I stayed here as a surprise from my partner for my birthday, and what a stay it was! The room had a fantastic view of Victoria Harbour and it was wonderfully cosy. The swimming pool and decking outside is a great highlight, we sat for two hours drinking the freeflow gin (which if I remember correctly was just a little over 100 dollars - fantastic value for money) and we enjoyed lazing by the pool. The hotel supplied me with a lovely cake for my birthday - complimentary, of course!

Being a James Bond fan, I was enticed by the green Rolls Royces parked outside and the general setting of the hotel that featured in The Man With The Golden Gun.

Dinner and drinks at the Felix was a great way to end the evening. We will definitely return - perhaps we will wait for post 6pm dining and general swimming pool restrictions to end before returning!"
44,Date of stay: February 2022,50,Opolent Luxury,"From the moment The Peninsular Rolls Royce limousine arrived, and at every moment thereafter The Peninsular Hotel and staff served to a standard of opulent luxury. The rooms are immaculate and the famous Peninsular High Tea was a highlight.
Due COVID restrictions F&B outlets were closed after 6pm, the Bar was also closed. Room service is still 24hours. Vaccination certificate was required for restaurants as expected.
The Oceanview Suite was massive, large TV’s in either room and the large marble bathroom. Modernized with integrated TV/audio & USB charging, BYO cords.
The hotel wasn’t busy so the extra service was appreciated. Room Prices were discounted, similar to other hotels. Our package had a $1000 F&B spend which covered dinner for 2.
Looking forward to going back again."
45,Date of stay: February 2022,50,Wonderful stay,"I was staying in a suite room 0503 feb 4-5, and my friends were staying in 0501 and 0532 as I remember. The service was just so good. My stay was an excellent break from the terrible days lately. The foods were fantastic too. All staffs were very attentive professional & helpful. The hotel and people all make it so special. The price I paid was absolutely worth it. We all enjoy much.

Special thanks to Amanda Law!! Thanks for all the arrangement to ensure our perfect staying experience. She is a guarantee that you will enjoy every second of the amazing hotel."
46,Date of stay: February 2022,50,Mr Tsoi,"Many thanks for the perfect services & delicious food ; we specially thanks Alice & Jason who gave the most memorable staycation for us ‼️

We will suggest our friends to visit and enjoy their vacation in the future , The Peninsula is always our FIRST choice‼️

Regards,
Adam Tsoi
9/2/2022"
47,Date of stay: December 2021,50,A MAGICAL CHRISTMAS!,"I stayed with my husband on Christmas Eve and Christmas Day night and we had the most magical stay.

Hotel: both the exterior and interior Christmas decorations were spectacular. So thought out, so detailed and nothing left out. Every part of the hotel was decorated in a different way and made for stunning photos. The Lobby had music, choirs and band music throughout our stay, this made for an amazing atmosphere and made it feel so christmassy and special. The only downside is that The Lobby has nowhere to sit unless you are in the restaurant.

Room: on arrival we had an upgrade to a better room and the room was spectacular. The room itself was so spacious with a dressing area and huge bathroom. The amenities and special little touches in the room really elevate it.

Food: we had the set breakfast each morning in The Lobby and we had Christmas Day Buffet at lunchtime in the Salisbury Room. The breakfast was just the right size and had a little bit of everything - cereal, fruit, pastries, hot options and drinks. We took leftovers away with us and ate them later. The Christmas Day Buffet was outstanding, there was seafood (lobster, prawns, caviar etc) as well as traditional western Christmas Day options. The desserts on offer were so decadent and tasty. The food was excellent throughout.

Extras: as part of our stay we had three encounters included and we chose the Flight Simulator, Louis Vuitton Leather Workshop and Mahjong Engraving. They were private experiences with experts and were so much fun. They also really set The Peninsula apart from other hotels. We also had a Staub pan as a gift which retails at £300 on check out. The turn down service on Christmas Eve let us velvet stockings with biscuits and chocolates inside - this was such a special touch.

Staff: the staff were all exceptional. From the moment we approached the hotel entrance door, there were people on hand to help us. Every member of staff was helpful, professional and friendly. They were there whenever we needed something and even when we didn't. The staff were also amazing at taking photos - we have photos to cherish forever.

I would urge anyone who can to visit The Peninsula, especially at Christmas time. It was such a magical trip and I would love to return!"
48,Date of stay: November 2021,50,Superlative - we returned for our second stay,"We are long term Hong Kong residents and in November 2021 we decided to fulfil our promise to return to the Peninsula to celebrate a milestone birthday, but this time rather than stay one night we chose two nights in a harbour view suite. As anyone who has visited the hotel’s lobby will attest, it is gasp worthy, but none the less tasteful. Likewise the rooms are tasteful, but quietly understated where all the things you would ever need are thoughtfully provided just where you would expect to find them. However, there is something that has been provided that in most hotels, even those with a stunning view, is sadly omitted - a pair of comfortable armchairs with footstools where you can relax while appreciating the view. Much to our surprise we spent most of our waking hours in these two chairs appreciating the familiar, but ever-changing vista of Hong Kong Harbour. What bliss! There were several other outstanding features during our stay - the kind assistance we received from staff - Henry and Hazel in administration and Fan at Gaddis are just three of the many we would like to mention and behind the scenes staff must not be forgotten. Our son in Melbourne had wanted to send flowers to our hotel room as a surprise, but we had forgotten to tell him which hotel. When he learned he called the Peninsula at 8pm requesting roses and chocolates and these - a stunning large bouquet of red roses and box of fine chocolates were delivered shortly after - where else would this happen at that hour on a Saturday evening, especially in times of Covid? Regarding the cost of what might seem an extravagant weekend, we have spent far more on brief holidays in the region which have not been nearly as satisfying and also of course involved the frustration of travel. Would we do it again? Absolutely - we hope to make this an annual event. Thank you again Peninsula Hong Kong! Hong Kong is a wonderful town, blessed with such a grand hotel."
49,Date of stay: March 2021,40,Awesome Design Good Service Must Encore 😃,"All staffs we met were very polite, participated to greeting and helpful.

Victoria England interior design is awesome! Roma design of swimming pool is grand and special.

Room is spacious, comfortable, amenities and “iPad” style of control panel is modern and very user friendly."
50,Date of stay: November 2021,50,Par Luxury,"Love every thing about this hotel, a true emerald amongst all other hotels in Hong Kong, right from the minute you step foot into the door until you leave, everything is an experience here. The decor, the smell, the fine details including service from the staff is impeccable. Love the High Tea and Felix for drinks, always makes us come back for more. Well done TEAM Pen.... keep up your good work"
